name,github,area,personal_page,twitter,linkedin,image,famous_work,link,Company,Job
Eugene Zhulenev,https://github.com/ezhulenev, machine learning compilers and runtimes,https://ezhulenev.com/,https://x.com/ezhulenev,https://www.linkedin.com/in/eugenezhulenev,https://avatars.githubusercontent.com/u/1174378?v=4,Tensorflow,https://github.com/tensorflow/tensorflow,Google,Software Engineer
Shaw Walters,https://github.com/elizaOS/eliza,AI Agent,,https://x.com/shawmakesmagic,https://www.linkedin.com/in/shaw-walters-36603a289/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXTvgXlOjt6UKF4G8iKmIn-MvjaJI8XOswVA&s,ElizaOS,https://github.com/elizaOS/eliza,Eliza Labs,Founder
Patrick von Platen,https://github.com/patrickvonplaten,Diffusion Model,,https://x.com/pvonplaten,https://www.linkedin.com/in/patrick-von-platen-343401123?originalSubdomain=fr,https://avatars.githubusercontent.com/u/23423619?v=4,Diffusers (Huggingface),https://github.com/huggingface/diffusers,Mistral AI,Research Engineer
Thomas Wolf,https://github.com/thomwolf,"LLM, Robotics",https://thomwolf.io/,https://x.com/Thom_Wolf,https://www.linkedin.com/in/thom-wolf/,https://avatars.githubusercontent.com/u/7353373?v=4,Transformers (Huggingface),https://github.com/huggingface/transformers,Huggingface,CSO (Chief Science Officier)
Adam Paszke,https://github.com/apaszke,Deep Learning Framework,https://apaszke.github.io/,https://x.com/apaszke,,https://avatars.githubusercontent.com/u/4583066?v=4,PyTorch,https://github.com/pytorch/pytorch,Google,Research Scientist
Guillaume Lample,https://github.com/glample,"LLM, unsupervised learning",,https://x.com/guillaumelample?lang=en,https://www.linkedin.com/in/guillaume-lample-7821095b?originalSubdomain=fr,"https://images.crunchbase.com/image/upload/c_thumb,h_256,w_256,f_auto,g_face,z_0.7,q_auto:eco,dpr_1/gbvduy057vnacczkbyqi",Llama,https://github.com/meta-llama/llama,Mistral AI,Cofounder & Chief Scientist
Guido van Rossum,https://github.com/gvanrossum,Programming Language,https://gvanrossum.github.io/,https://x.com/gvanrossum?lang=gu,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Guido_van_Rossum_in_PyConUS24_%28cropped%29.jpg/330px-Guido_van_Rossum_in_PyConUS24_%28cropped%29.jpg,Python,https://github.com/python,Retired,"Python's BDFL-emeritus, Distinguished Engineer at Microsoft, Computer History Fellow"
Anders Hejlsberg,https://github.com/ahejlsberg,Programming Language,,https://x.com/ahejlsberg?lang=en,https://www.linkedin.com/in/ahejlsberg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdxKgIbeB7ocMCy0VpAcxitCwZXQFyH-VoMg&s,TypeScript,https://github.com/microsoft/TypeScript,Microsoft,Technical Fellow
Bjarne Stroustrup,https://github.com/BjarneStroustrup,Programming Language,https://www.stroustrup.com/,https://x.com/stroustrup,https://www.linkedin.com/in/bjarnestroustrup,https://www.stroustrup.com/Bjarne2018.jpg,C++,,Columbia University,Professor
François Chollet,https://github.com/fchollet,Deep Learning,,https://x.com/fchollet,https://www.linkedin.com/in/fchollet,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKDDbFALAhWd8-TWcLJ600c91gWnutoigpSg&s,Keras,https://github.com/keras-team/keras,ndea,Co-founder
Tim Neutkens,https://github.com/timneutkens,Frontend,https://timn.tech/,https://x.com/timneutkens,,https://avatars.githubusercontent.com/u/6324199?v=4,Next.js,https://github.com/vercel/next.js/,Vercel,Tech lead 
Adam Wathan,https://adamwathan.me/,Frontend,,https://x.com/adamwathan,,https://pbs.twimg.com/profile_images/1677042510839857154/Kq4tpySA_400x400.jpg,Tailwind CSS,https://github.com/tailwindlabs/tailwindcss,Self-employed,Indie developer
You yuxi,https://github.com/yyx990803,Frontend,https://evanyou.me/,https://x.com/youyuxi,,https://avatars.githubusercontent.com/u/499550?v=4,Vue.js,https://github.com/vuejs,VoidZero,Founder
Magnus M¨¹ller,https://github.com/MagMueller,AI Agent,,https://x.com/mamagnus00,https://www.linkedin.com/in/magnus-mueller/,https://avatars.githubusercontent.com/u/67061560?v=4,Browser Use,https://github.com/browser-use/browser-use,Browser Use,Founder
Travis E. Oliphant,https://github.com/teoliphant,Data Science,https://technicaldiscovery.blogspot.com/,https://x.com/teoliphant,https://www.linkedin.com/in/teoliphant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSG-rsEKV-4imbLAj3dmLvLA5n0NCw4DhFGg&s,Numpy,https://github.com/numpy/numpy,Quansight ,Founder
Rajesh Velicheti,https://github.com/rajeshvelicheti,ML Architecture,,,https://www.linkedin.com/in/rajesh-velicheti-3181283/,https://media.licdn.com/dms/image/v2/C4E03AQFxpFEqg3CVJQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1516288241092?e=1749686400&v=beta&t=UxkY_ubVtx_m1AdAajBs5fx4GCfa6sAOeaLBiEQkGAE,Agent2Agent,https://github.com/google/A2A,Google,Engineering Manager
Jan Oberhauser,https://github.com/janober,AI Agent,https://n8n.io/creators/jan/,https://x.com/janoberhauser,,https://avatars.githubusercontent.com/u/6249596?v=4,n8n,https://github.com/n8n-io/n8n,n8n,Founder
Chenlei Hu,https://github.com/huchenlei,AI Tooling,,https://x.com/HclHno3,https://www.linkedin.com/in/chenlei-hu-53aa8aa2/,https://media.licdn.com/dms/image/v2/C4E03AQEflSyZNWUCAA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1517228770929?e=1749686400&v=beta&t=I-iBsBtLsmZU7ujivjmRlxvjqs69tpdZ1uKUAYm9dSI,ComfyUI,https://github.com/comfyanonymous/ComfyUI,ComfyUI,Founding Software Engineer
Harrison Chase,https://github.com/hwchase17,AI Agent,,https://x.com/hwchase17,https://www.linkedin.com/in/harrison-chase-961287118,https://www.sequoiacap.com/wp-content/uploads/sites/6/2024/02/harrison-chase-langchain-ink.jpg,LangChain,https://github.com/langchain-ai/langchain,LangChain,Founder
Reinier van der Leer,https://github.com/Pwuts,AI Agent,https://pwuts.nl/,https://x.com/Pwuts1337,https://www.linkedin.com/in/reiniervdleer/nl?originalSubdomain=nl,https://avatars.githubusercontent.com/u/12185583?v=4,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,AutoGPT,Founding Engineer 
Linus Torvalds,https://github.com/torvalds,Operating System,,https://x.com/Linus__Torvalds,,https://pbs.twimg.com/profile_images/2828597835/0f1840e9c2fbafa93fe6f0d7ccf64a3e_400x400.jpeg,Linux,https://github.com/torvalds/linux,Linux Foundation,Founder
Andrej Karpathy,https://github.com/karpathy,"Deep Learning, LLM",https://karpathy.ai/,https://x.com/karpathy,,https://karpathy.ai/assets/me_new.jpg,llm.c,https://github.com/karpathy/llm.c," 
EurekaLabs",Founder
Mark Otto,https://github.com/mdo,Frontend,https://markdotto.com/,https://x.com/mdo,https://www.linkedin.com/in/markdotto,https://pbs.twimg.com/profile_images/1196263867178872832/BET9cPgr_400x400.jpg,Bootstrap,https://github.com/twbs/bootstrap,Pierre,Founder
Kenneth Reitz,https://github.com/kennethreitz,Python,https://kennethreitz.org/,https://x.com/kennethreitz42,,https://avatars.githubusercontent.com/u/119893?v=4,Requests,https://github.com/psf/requests,Unknown,Indie developer
Dan Abramov,https://github.com/gaearon,Frontend,https://danabra.mov/,,,https://avatars.githubusercontent.com/u/810438?v=4,React,https://github.com/facebook/react,Bluesky,Co-founder
Douglas Crockford,https://github.com/douglascrockford,Java,https://www.crockford.com/wota.html,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWeK3KCdAUjmp3h3iXwm2p0ROaF7Cz-lSwNA&s,JSON,,Retired,Retired
Addy Osmani,https://github.com/addyosmani,Frontend,https://www.addyosmani.com/,https://x.com/addyosmani,https://www.linkedin.com/in/addyosmani/,https://pbs.twimg.com/profile_images/1905363780500160512/lUd1G9HO_400x400.jpg,Google Chrome ,https://github.com/googlechrome,Google,Engineering Leader
Rasmus Lerdorf,https://github.com/rlerdorf,Backend,https://toys.lerdorf.com/,https://x.com/rasmus,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEmQnAipiKR-ha3DtbtiFBkZCnox_Ln-KKw8_oxWXoI0ppJghe0S03Rtosrwqt6Es06K4_OyllIrJnFRYZyv20cw,PHP,https://github.com/php/php-src,Etsy,Engineer
Graydon Hoare,https://github.com/graydon,Compiler ,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFZ4R3wA3ZWxshLtu71twAerWRYQeORDa9jw&s,Rust,https://github.com/rust-lang/rust,Unknown,Unknown
Tianqi Chen,https://github.com/tqchen,Large scale Machine Learning,https://tqchen.com/,https://x.com/tqchenml,,https://avatars.githubusercontent.com/u/2577440?v=4,Xgboost,https://github.com/dmlc/xgboost,"Carnegie Mellon University
",Assistant Professor
Woosuk Kwon,https://github.com/WoosukKwon,AI Infra,https://woosuk.me/,https://x.com/woosuk_k,,https://pbs.twimg.com/profile_images/1656217319872565251/yT3efSyF_400x400.jpg,vLLM,https://github.com/vllm-project/vllm,UC Berkeley,Ph.D
Lianmin Zheng,https://github.com/merrymercy,AI Infra,https://lmzheng.net/,https://x.com/lm_zheng,,https://github.com/merrymercy/merrymercy.github.io/blob/master/images/profile.jpg?raw=true,SGLang,https://github.com/sgl-project/sglang,xAI,member of technical staff
Yangqing Jia,https://github.com/yangqing,AI Infra,https://daggerfs.com/,https://x.com/jiayq,,https://avatars.githubusercontent.com/u/551151?v=4,Caffe,https://github.com/BVLC/caffe,Lepton AI,Founder
Sebasti¨¢n Ram¨ªrez,https://github.com/tiangolo,AI/ML Tools,https://tiangolo.com/,https://x.com/tiangolo,,https://avatars.githubusercontent.com/u/1326112?v=4,FastAPI,https://github.com/fastapi/fastapi,Self-employed,Indie developer
Jin Hai,https://github.com/JinHai-CN,AI Infra,,https://x.com/vaampz,https://www.linkedin.com/in/hai-jin-40730284/?originalSubdomain=cn,https://avatars.githubusercontent.com/u/33142505?v=4,Milvus ,https://github.com/milvus-io/milvus,Infiniflow ,Co-founder
Paul Copplestone,https://github.com/kiwicopple,AI Infra,https://paul.copplest.one/,https://x.com/kiwicopple/highlights,https://www.linkedin.com/in/paulcopplestone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2GY1R463ROVlKnH1d1Mai4jZxPITfY2n_pA&s,Supabase,https://github.com/supabase/supabase,Supabase,CEO
Flavio Schneider,https://github.com/flavioschneider,Audio,https://flavioschneider.com/,https://x.com/flavioschneide,,https://pbs.twimg.com/profile_images/1263544723471466497/bnfte_-6_400x400.jpg,Audio Diffusion Model,https://github.com/archinetai/audio-diffusion-pytorch,ElevenLabs,Machine Learning Researcher
Cong Lu,https://github.com/conglu1997,AI App,https://www.conglu.co.uk/,https://x.com/cong_ml,,https://avatars.githubusercontent.com/u/20336225?v=4,AI Scientist,https://github.com/SakanaAI/AI-Scientist,Sakana AI,Machine Learning Researcher
Brendan Eich,https://github.com/BrendanEich,Frontend,https://brendaneich.com/,https://x.com/BrendanEich,,https://avatars.githubusercontent.com/u/313317?v=4,Javascript,,Brave,CEO
Russ Cox,https://github.com/rsc,Distributed Systems and Parallel Computing,http://research.swtch.com/,https://x.com/_rsc,,https://avatars.githubusercontent.com/u/104030?v=4,Go,https://github.com/golang/go,Google,Distinguished Engineer
Robert Griesemer,https://github.com/griesemer,Distributed Systems and Parallel Computing,https://research.google/people/author96/?&type=google,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaDM9bhm5dhcCg9ppIuPlhLER_r62bL6XFwQ&s,Go,https://github.com/golang/go,Google,Distinguished Engineer
Rob Pike,https://github.com/robpike,Distributed Systems and Parallel Computing,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTS4Sdj_TUOdYB5dqtYKfTrlNPghLzp_oqjw&s,Go,https://github.com/golang/go,Google,Distinguished Engineer
Jong Wook Kim,https://github.com/jongwook,Audio,http://jongwook.kim/,https://x.com/_jongwook_kim,https://www.linkedin.com/in/jongwook-kim,https://media.licdn.com/dms/image/v2/C4D03AQGVpNiox7yHoQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1517260299553?e=1749686400&v=beta&t=rPsiMOhC4aeiCdiwHc_yMxK-ghRUGh3XTFIm6nsJXdk,Whisper,https://github.com/openai/whisper,OpenAI,member of technical staff
Edward Z. Yang,https://github.com/ezyang,Distributed Systems and Parallel Computing,http://ezyang.com,https://x.com/ezyang,,https://ezyang.com/photo.png,PyTorch,https://github.com/pytorch/pytorch,Meta,Research Engineer
David Luzar,https://github.com/dwelle,Full-stack,,https://x.com/dluzar,https://www.linkedin.com/in/david-luzar-39b14411,https://pbs.twimg.com/profile_images/612996617675894784/vZD28qQO_400x400.png,Excalidraw,https://github.com/excalidraw/excalidraw,Excalidraw,Co-founder
Ryan Dahl,https://github.com/ry,Frontend,https://tinyclouds.org/,https://x.com/rough__sea,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAXBA9wOSJVqOnZVx0qC7ZfK9inMXJnlqsVA&s,Node.js,https://github.com/nodejs/node,Deno,Co-founder
Brendan Burns,https://github.com/brendandburns,Full-stack,,https://x.com/brendandburns,https://www.linkedin.com/in/brendan-burns-487aa590,https://avatars.githubusercontent.com/u/5751682?v=4,Kubernetes,https://github.com/kubernetes/kubernetes,Microsoft,Vice-President
Ricardo Cabello,https://github.com/mrdoob,Frontend,https://mrdoob.com/,https://x.com/mrdoob,https://www.linkedin.com/in/mrdoob,https://pbs.twimg.com/profile_images/1619147369999917056/5jd5MK9C_400x400.jpg,Three.js,https://github.com/mrdoob/three.js,Google,Senior Staff Software Engineer
Robin Rombach,https://github.com/rromb,AIGC,,https://x.com/robrombach,,https://nextconf.eu/wp-content/uploads/2022/08/Robin_Rombach.png,Stable Diffusion,https://github.com/CompVis/stable-diffusion,Black Forest Labs,CEO
Olivier Grisel,https://github.com/ogrisel,Machine Learning,https://ogrisel.com/,https://x.com/ogrisel,,https://cdn.masto.host/sigmoidsocial/accounts/avatars/109/394/163/369/992/770/original/c471f5d679dace8d.jpg,Scikit-learn,https://github.com/scikit-learn/scikit-learn,:probabl.,Engineer 
Adrian Holovaty,https://github.com/adrianholovaty,Backend,https://www.holovaty.com/,https://x.com/adrianholovaty,,https://avatars.githubusercontent.com/u/180401?v=4,Django,https://github.com/django/django,Soundslice,Founder
Gary Bradski,https://github.com/garybradski,Computer Vision,https://en.wikipedia.org/wiki/Gary_Bradski,https://x.com/grbradsk,https://www.linkedin.com/in/garybradski/,https://avatars.githubusercontent.com/u/810997?v=4,OpenCV,https://github.com/opencv/opencv,OpenCV Open source Foundation,President
Knut Sveidqvist,https://github.com/knsv,Frontend,,https://x.com/knutsveidqvist,https://www.linkedin.com/in/knut-sveidqvist,https://avatars.githubusercontent.com/u/5837277?v=4,Mermaid,https://github.com/mermaid-js/mermaid,Mermaid Chart,CTO
Georgi Gerganov,https://github.com/ggerganov,AI Infra,https://ggerganov.com/,https://x.com/ggerganov,,https://pbs.twimg.com/profile_images/1654097134315098113/zCZD0wYz_400x400.jpg,llama.cpp,https://github.com/ggml-org/llama.cpp,ggml,Founder
Matthias Fey,https://github.com/rusty1s,GNN,https://rusty1s.github.io/,https://x.com/rusty1s,https://www.linkedin.com/in/matthias-fey-b4a947221,https://avatars.githubusercontent.com/u/6945922?v=4,PyTorch Geometric,https://github.com/pyg-team/pytorch_geometric,Kumo.AI ,Founding Engineer 
Shay Banon,https://github.com/kimchy,Distributed Systems and Web Search,https://thedudeabides.com/,https://x.com/kimchy,https://www.linkedin.com/in/kimchy/,https://static-www.elastic.co/v3/assets/bltefdd0b53724fa2ce/blt21565aeab3c287e8/5f4ecb7ed2205827bd4f79fc/headshot-shay-banon-300x300.jpg,Elasticsearch ,https://github.com/elastic/elasticsearch,Elastic,CTO
