英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Geoffrey Hinton,833235,JicYPdAAAAAJ,https://www.cs.toronto.edu/~hinton/,geoffreyhinton,
Yoshua Bengio,821134,kukA0LcAAAAJ,https://yoshuabengio.org/,Yoshua_Bengio,https://ca.linkedin.com/in/yoshuabengio
Kaiming He,594195,DhtAFkwAAAAJ,https://people.csail.mit.edu/kaiming/,,https://www.linkedin.com/in/kaiming-he-90664838
Ilya Sutskever,531186,x04W_mMAAAAJ,https://www.cs.utoronto.ca/~ilya/,ilyasut,https://www.linkedin.com/in/ilya-sutskever
Jian Sun,530875,ALVSZAYAAAAJ,https://www.jiansun.org/,,https://cn.linkedin.com/in/jian-sun-264252111
Robert Tibshirani,501486,ZpG_cJwAAAAJ,https://tibshirani.su.domains/index.html,robtibshirani,
Ross Girshick,486100,W8VIEZgAAAAJ,https://www.rossgirshick.info/,inkynumbers,https://www.linkedin.com/in/ross-girshick-81326084
Andrew Zisserman,425045,UZ5wscMAAAAJ,https://www.robots.ox.ac.uk/~az/,,https://www.linkedin.com/in/andrew-brown-6b4193115
Shaoqing Ren,373184,AUhj438AAAAJ,https://shaoqingren.com/,RenShaoqing,https://cn.linkedin.com/in/shaoqing-ren-61853260
Trevor Hastie,368541,tQVe-fAAAAAJ,https://hastie.su.domains/,hastietrevor,https://www.linkedin.com/in/trevor-hastie-a6a4735
Yann LeCun,365620,WLN3QrAAAAAJ,http://yann.lecun.com/,ylecun,https://www.linkedin.com/in/yann-lecun
Xiangyu Zhang,319721,yuB-cfoAAAAJ,,,https://www.linkedin.com/in/xiangyu-zhang-24a148160/
Jose Enrique Garcia Navarro [ORCID: 0000-0002-0279-0523],319614,too0eQkAAAAJ,,,
Vladimir Vapnik,315966,vtegaJgAAAAJ,,,https://www.linkedin.com/in/vladimir-vapnik-5956a624
Ian Goodfellow,308621,iYN86KEAAAAJ,https://www.iangoodfellow.com/,goodfellow_ian,https://www.linkedin.com/in/ian-goodfellow-b7187213
Jeff Dean,305602,NMS69lQAAAAJ,https://research.google/people/jeff/?&type=google,JeffDean,https://www.linkedin.com/in/jeff-dean-8b212555
Stefano Giagu,301923,GjtUFQsAAAAJ,http://www.giagu.it/,StefanoG,
Michael I. Jordan,299416,yxUduqMAAAAJ,https://people.eecs.berkeley.edu/~jordan/,,https://www.linkedin.com/in/michael-jordan-767032125
Jonathan Hays,298713,1DS8DjgAAAAJ,,,
Tommaso Dorigo,296673,p5i5SrgAAAAJ,https://userswww.pd.infn.it/~dorigo/,Dorigo,https://it.linkedin.com/in/tommaso-dorigo-876b554
Jean-Roch Vlimant,296065,atsBh1QAAAAJ,,vlimant,https://ch.linkedin.com/in/jean-roch-vlimant/en
Julien Donini,292938,eN5cHekAAAAJ,,,
Josh Cogan,286673,_EPCKe0AAAAJ,http://joshcogan.com/wp/,,https://www.linkedin.com/in/josh-cogan-10416b68
Lily Asquith,285118,cFhAMkoAAAAJ,,lily_asquith,https://uk.linkedin.com/in/lily-asquith-13997063
Mark Neubauer,284201,jxy08CgAAAAJ,https://www.marksneubauer.com/,MarkSNeubauer,https://www.linkedin.com/in/marksneubauer
Oriol Vinyals,284144,NkzyCvUAAAAJ,,OriolVinyalsML,https://uk.linkedin.com/in/oriol-vinyals-00b3366
Lotfi A. Zadeh,277083,S6H-0RAAAAAJ,https://www2.eecs.berkeley.edu/Faculty/Homepages/zadeh.html/,,https://www.linkedin.com/pulse/obituary-tribute-prof-lotfi-zadeh-aswani-kumar-cherukuri
Konstantinos Bachas,276964,nChoyPsAAAAJ,,,
Kyle Cranmer,276039,EZjSxgwAAAAJ,https://theoryandpractice.org/,kylecranmer,https://www.linkedin.com/in/kylecranmer
Leo Breiman 1928-2005,271132,mXSv_1UAAAAJ,,,
Anil K. Jain,270383,g-_ZXGsAAAAJ,http://www.cse.msu.edu/~jain/,,https://www.linkedin.com/in/anil-jain-689b0791
Alex Krizhevsky,270371,xegzhJcAAAAJ,http://www.cs.toronto.edu/~kriz,,
Maurizio Pierini,269593,3vZMAs4AAAAJ,,bligodj0,https://ch.linkedin.com/in/xmpierinix
Christian Szegedy,264525,bnQMuzgAAAAJ,,ChrSzegedy,https://www.linkedin.com/in/christian-szegedy-bb284816
Quoc Viet Le,262463,vfT6-XIAAAAJ,https://cs.stanford.edu/~quocle/,quocleix,https://www.linkedin.com/in/quoc-v-le-319b5a8
Trevor Darrell,261839,bh-uRFMAAAAJ,https://people.eecs.berkeley.edu/~trevor/,trevordarrell,https://its.berkeley.edu/people/trevor-darrell
Li Fei-Fei,261435,rDfyQnIAAAAJ,http://vision.stanford.edu/,drfeifei,https://www.linkedin.com/in/fei-fei-li-4541247
Andrew Ng,259392,mG4imMEAAAAJ,https://www.andrewng.org/,AndrewYNg,https://www.linkedin.com/in/andrewyng/
Diederik P. Kingma,258281,yyIoQu4AAAAJ,https://dpkingma.com/,dpkingma,https://www.linkedin.com/in/durk-kingma-58b3564
Christian M. Ringle,256864,y5F176wAAAAJ,https://www.tuhh.de/mds/team/prof-dr-c-m-ringle,,https://www.linkedin.com/today/author/christian-m-ringle-989ba634
Lev Dudko,256609,zEQGLhoAAAAJ,,,
Christopher D Manning,254761,1zmDOdwAAAAJ,https://nlp.stanford.edu/~manning/,chrmanning,https://www.linkedin.com/in/christopher-manning-011575
Stephen Boyd,254616,GExyiRkAAAAJ,https://stanford.edu/~boyd/,,https://www.linkedin.com/in/stephen-boyd-0242281
Tien Yin Wong 黄天荫,253881,f2XZEZ8AAAAJ,,WongTienYin,https://sg.linkedin.com/in/tien-yin-wong-%E9%BB%84%E5%A4%A9%E8%8D%AB-b0275733
Juergen Schmidhuber,249480,gLnCTgIAAAAJ,https://people.idsia.ch/~juergen/,schmidhuberai,https://ch.linkedin.com/in/j%C3%BCrgen-schmidhuber-39226872
Zhihua Liang,248447,euNshFkAAAAJ,,,https://be.linkedin.com/in/liangzhihua
Mia Liu,247664,h8JQ0nYAAAAJ,,,
Troels Petersen,245524,eg0xC8cAAAAJ,,,
Daniel Dobos,242753,riqzUdgAAAAJ,,,https://ch.linkedin.com/in/danieldobos
David Lopez Mateos,242490,P6krKIkAAAAJ,http://users.physics.harvard.edu/~dlopez/,,
Kieron Burke,242354,NNwQAegAAAAJ,https://dft.uci.edu/,,
Lucian Ancu,236218,rKhA7j0AAAAJ,,,https://ch.linkedin.com/in/lucian-ancu-phd-9201733
Sascha Caron,235426,yfuZDxsAAAAJ,https://www.nikhef.nl/~scaron/,SaschaCaron,
Bernhard Schölkopf,235251,DZ-fHPgAAAAJ,,bschoelkopf,https://de.linkedin.com/in/bernhard-sch%C3%B6lkopf-732969238
Ryan Reece,234640,7-0GbXEAAAAJ,https://rreece.github.io/,RyanDavidReece,https://www.linkedin.com/in/ryanreece
Jimmy Ba,233604,ymzxRhAAAAAJ,https://jimmylba.github.io/,jimmybajimmyba,
Nuno Castro,233487,tiPVEV8AAAAJ,https://www.cienciavitae.pt/en/C015-ED7D-BE43,,
Karen Simonyan,230559,L7lMQkQAAAAJ,,,https://am.linkedin.com/in/simonyankaren
Jitendra MALIK,230216,aOklxsQAAAAJ,https://people.eecs.berkeley.edu/~malik/,JitendraMalikCV,https://www.linkedin.com/in/jitendra-malik-60b55823b
Luc Van Gool,230203,TwMib_QAAAAJ,,,https://ch.linkedin.com/in/luc-van-gool-1b4a689
Sanjay Padhi,228863,fwSWNY4AAAAJ,,,https://www.linkedin.com/in/sanjaypadhi
Michael Kagan,228368,KtMij1EAAAAJ,,,https://ch.linkedin.com/in/michael-kagan-06292616
Wolfgang Waltenberger,226732,nKC5jkgAAAAJ,https://www.oeaw.ac.at/hephy/staff/wolfgang-waltenberger/,,
Gregor Kasieczka,226504,XSJHhmIAAAAJ,https://www.physik.uni-hamburg.de/iexp/gruppe-kasieczka.html,GregorKasieczka,https://de.linkedin.com/in/gregor-kasieczka-b6b91383
Piotr Dollár,222859,a8Y2OJMAAAAJ,https://pdollar.github.io/,,https://www.linkedin.com/in/pdollar
Paolo Meridiani,220542,yQwnkKMAAAAJ,,,https://it.linkedin.com/in/meridiani-paolo-6714105
Riccardo Di Sipio,218027,FX5AyXoAAAAJ,https://riccardo-disipio.medium.com/,,
koray kavukcuoglu,217879,sGFyDIUAAAAJ,http://koray.kavukcuoglu.org/,koraykv,https://uk.linkedin.com/in/koray-kavukcuoglu-0439a720
Data Tecnica,217716,qCE88ykAAAAJ,https://www.datatecnica.com/,DataTecnica,https://www.linkedin.com/company/datatecnica
Sanmay Ganguly,216325,FacGNwsAAAAJ,,SanmayGanguly,https://in.linkedin.com/in/sanmay-ganguly-a574411a
Javier M. Duarte,215089,GTtW9H0AAAAJ,https://jduarte.physics.ucsd.edu/,,https://www.linkedin.com/in/javier-m-duarte
Wahid Bhimji,212021,COnXcM0AAAAJ,,,https://www.linkedin.com/in/wahid-bhimji-56063818
Ruslan Salakhutdinov,207491,ITZ1e7MAAAAJ,https://www.cs.cmu.edu/~rsalakhu/,rsalakhu,
Kalyanmoy Deb,206557,paTAXiIAAAAJ,https://www.egr.msu.edu/~kdeb/,,https://www.linkedin.com/in/kalyanmoy-deb-91748136
Benjamin Nachman,205831,4CpTP8YAAAAJ,https://nachmangroup.github.io/,bpnachman,https://www.linkedin.com/in/bpnachman
Roberto Castello,201226,JFdVZCcAAAAJ,https://people.epfl.ch/roberto.castello,epfl_en,https://www.linkedin.com/school/epfl/
David Silver,201188,-8DNE4UAAAAJ,https://www.davidsilver.uk/,,
Lukasz Kaiser,199049,JWmiQR0AAAAJ,,lukaszkaiser,https://www.linkedin.com/in/lukaszkaiser
Fedor Ratnikov,198999,vbLFLLEAAAAJ,,,https://www.linkedin.com/in/fedor-ratnikov-587b7468
Jakob Uszkoreit,198733,mOG0bwsAAAAJ,,kyosu,https://www.linkedin.com/in/jakob-uszkoreit-b238b51
Nathaniel Odell,198716,mq7PhfsAAAAJ,,,
Christian Veelken,196311,DawLCO0AAAAJ,,,https://ee.linkedin.com/in/christian-veelken-937269113
Sofia Vallecorsa,196115,OQpf9YsAAAAJ,,,https://ch.linkedin.com/in/sofia-vallecorsa-93ab36b1
Raquel Pezoa,194456,v_0SXv4AAAAJ,,,https://cl.linkedin.com/in/raquel-pezoa-0569976
Luigi Calligaris,189297,VJTNwGoAAAAJ,https://github.com/luigicalligaris,luigicalligaris,https://br.linkedin.com/in/luigicalligaris
Jingdan Zhang,187947,eBh1SzAAAAAJ,,,
Richard Socher,187754,FaOcyfMAAAAJ,https://www.socher.org/,RichardSocher,https://www.linkedin.com/in/richardsocher
Lara Lloret Iglesias,187314,LnBGQ3QAAAAJ,https://orcid.org/0000-0002-0157-4765,orcid_org,https://www.linkedin.com/company/orcid
Skander Gasmi,184199,SxAO2hQAAAAJ,,,https://tn.linkedin.com/in/skanderggasmi
Alex Smola,184015,Tb0ZrYwAAAAJ,https://alex.smola.org/,smolix,https://linkedin.com/in/smola/
Thomas Dent,182527,PMOPtaEAAAAJ,,,https://es.linkedin.com/in/thomas-dent-a68171b
Noam Shazeer,182252,wsGvgA8AAAAJ,,NoamShazeer,https://www.linkedin.com/in/noam-shazeer-3b27288
Serge Belongie,179198,chD5XxkAAAAJ,https://www.belongielab.org/,BelongieLab,https://dk.linkedin.com/in/sergebelongie
Vincent Vanhoucke,177327,T7uctwYAAAAJ,https://vincent.vanhoucke.com/,V_Vanhoucke,http://linkedin.com/in/vanhoucke
Greg Corrado,177157,HBtozdUAAAAJ,,greg_corrado,https://www.linkedin.com/in/greg-corrado-phd
Julian Bunn,176670,4vRmersAAAAJ,,,https://www.linkedin.com/posts/leskovsek_interview-julian-bunn-california-audio-activity-7028841944223035393-LJPV
Manolis Kellis,175327,lsYXBx8AAAAJ,http://compbio.mit.edu/,manoliskellis,https://www.linkedin.com/in/manolis-kellis
Terrence Sejnowski,174090,m1qAiOUAAAAJ,https://cnl.salk.edu/,sejnowski,https://www.linkedin.com/posts/ucsdinnovation_terrence-sejnowski-has-been-named-scientist-activity-7158867240350633984-o2-s
Henning Kirschenmann,172625,Wa__UJYAAAAJ,https://researchportal.helsinki.fi/en/persons/henning-kirschenmann,,https://www.linkedin.com/in/henning-kirschenmann-89454612a/
Jure Leskovec,172444,Q_kKkIUAAAAJ,https://cs.stanford.edu/~jure/,jure,https://www.linkedin.com/in/leskovec
Laurent D. Cohen,169855,lphQnvMAAAAJ,https://www.ceremade.dauphine.fr/~cohen/,,
Thomas S. Huang,169747,rGF6-WkAAAAJ,https://ifp-uiuc.github.io/,,https://www.linkedin.com/in/thomas-huang-04716b116
Alexey Svyatkovskiy,165665,0Oj4J4wAAAAJ,,asvyatko,https://www.linkedin.com/in/asvyatko
Tomas Mikolov,164765,oBu8kMMAAAAJ,,,https://cz.linkedin.com/in/tomas-mikolov-59831188
Evrim Ersin Kangal,164418,hBTsXMgAAAAJ,,,https://tr.linkedin.com/in/evrimersinkangal?trk=people-guest_people_search-card
Sergei Gleyzer,163996,bzHlrXMAAAAJ,http://sergeigleyzer.com/,sergeigleyzer,https://www.linkedin.com/in/sergei-v-gleyzer-a72b772
Sara Borroni,163498,PGEep1MAAAAJ,,,https://it.linkedin.com/in/sara-borroni-45b1a494
Leon Bottou,163229,kbN88gsAAAAJ,https://leon.bottou.org/,,
Pietro Perona,162507,j29kMCwAAAAJ,https://www.vision.caltech.edu/pietroperona.htm,,https://www.linkedin.com/in/pietro-perona-4a5a444
Sepp Hochreiter,162001,tvUH3WMAAAAJ,https://www.jku.at/en/institute-for-machine-learning/,jkulinz/,https://at.linkedin.com/school/jkulinz/
Thomas Brox,161601,0VAe-TQAAAAJ,https://lmb.informatik.uni-freiburg.de/people/brox/index.en.html,,
Demis Hassabis,159975,dYpPMQEAAAAJ,,demishassabis,无法确定
Pieter Abbeel,158002,vtwH6GkAAAAJ,https://people.eecs.berkeley.edu/~pabbeel/,pabbeel,https://www.linkedin.com/in/pieterabbeel
Dumitru Erhan,156942,wfGiqXEAAAAJ,https://www.dumitru.ca/,doomie,https://www.linkedin.com/in/dumitruerhan
Francisco Herrera,155812,HULIk-QAAAAJ,https://ccia.ugr.es/~herrera/,fherreraugr,https://www.linkedin.com/in/francisco-herrera-38226a/?originalSubdomain=es
Ashish Vaswani,155416,oR9sCGYAAAAJ,,ashvaswani,https://www.linkedin.com/in/ashish-vaswani-99892181/
Lukas Heinrich,155372,svzOc0UAAAAJ,http://www.lukasheinrich.com/,lukasheinrich_,https://de.linkedin.com/in/lukasheinrich
Thong Q. Nguyen,155226,f5IY9j8AAAAJ,https://thong.ai/,,https://www.linkedin.com/in/thongqn
Alec Radford,154535,dOad5HoAAAAJ,,AlecRad,https://www.linkedin.com/in/alecradford?trk=people-guest_people_search-card
Kyunghyun Cho,153442,0RAmmIAAAAAJ,https://www.kyunghyuncho.me/,kchonyc,https://www.linkedin.com/in/kyunghyun-cho-2171681b
Takeo Kanade,152603,LQ87h3sAAAAJ,https://www.ri.cmu.edu/ri-faculty/takeo-kanade/,,https://www.linkedin.com/in/takeo-kanade-9199604/
Jacob Vanderplas,152515,0tDjsNUAAAAJ,,jakevdp,
Sebastian Thrun,152141,q-buMEoAAAAJ,http://robot.cc/,,
Robert Schapire,152110,39JcQcEAAAAJ,,,
Archil Durglishvili,151768,VqEofWYAAAAJ,,,https://ge.linkedin.com/in/archil-durglishvili-13012287
PABLO TAMAYO,150805,lLqTCtUAAAAJ,,,https://www.linkedin.com/in/pablo-tamayo-3995a51
Niki Parmar,150358,q2YXPSgAAAAJ,,nikiparmar09,https://www.linkedin.com/in/nikiparmar
Xiaoou Tang,150356,qpBtpGsAAAAJ,https://mmlab.ie.cuhk.edu.hk/,,
Cordelia Schmid,149650,IvqCXP4AAAAJ,,,
Llion Jones,147725,_3_P5VwAAAAJ,,YesThisIsLion,https://jp.linkedin.com/in/llion-jones-9ab3064b
Olaf Ronneberger,147135,7jrO1NwAAAAJ,https://lmb.informatik.uni-freiburg.de/people/ronneber/,ORonneberger,
Richard S. Sutton,146107,6m4wv6gAAAAJ,http://www.incompleteideas.net/,RichardSSutton,https://www.linkedin.com/in/richard-sutton-0653545/?originalSubdomain=ca
Christopher M. Bishop,146055,gsr-K3ADUvAC,,,https://uk.linkedin.com/in/christophermbishop
Judea Pearl,145884,bAipNH8AAAAJ,https://bayes.cs.ucla.edu/jp_home.html,yudapearl,https://www.linkedin.com/learning/machine-learning-and-ai-foundations-causal-inference-and-modeling/judea-pearl-and-the-causal-revolution
Peter E. Hart,145681,EmP8sFQAAAAJ,https://www.peterhart.net/,,
Fabien Tarrade,145547,G6OYCEcAAAAJ,,fabtar,https://ch.linkedin.com/in/fabientarrade
Ali Farhadi,145226,jeOFRDsAAAAJ,https://homes.cs.washington.edu/~ali/,,https://www.linkedin.com/in/ali-farhadi-098430b1
Thomas Davenport,144452,QUhNN6QAAAAJ,https://www.tomdavenport.com/,tdav,https://www.linkedin.com/in/davenporttom/
Jia Deng,144438,U3Eub-EAAAAJ,https://www.cs.princeton.edu/~jiadeng/,jiadeng,https://www.linkedin.com/in/jia-deng-73bb4430
Klaus-Robert Müller,143922,jplQac8AAAAJ,,,
Alex Graves,143310,DaFHynwAAAAJ,https://www.cs.toronto.edu/~graves/,,
Alexei A. Efros,141569,d97bGd8AAAAJ,https://people.eecs.berkeley.edu/~efros/,,https://www.linkedin.com/in/alexei-efros-890736a3
Max Welling,141188,8200InoAAAAJ,,wellingmax,https://nl.linkedin.com/in/max-welling-4a783910
Aidan Gomez,140775,2oq9614AAAAJ,https://gom.ai/,AidanNGomez,https://ca.linkedin.com/in/aidangomez
David Lowe,139954,8vs5HGYAAAAJ,https://www.cs.ubc.ca/~lowe/home.html,,https://www.linkedin.com/in/raisindave
Leonidas Guibas,138419,5JlEyTAAAAAJ,,,
Alexander Gude,136960,MGzxB68AAAAJ,https://alexgude.com/,alex_gude,https://www.linkedin.com/in/alexandergude
Rob Fergus,136418,GgQ9GEkAAAAJ,https://cs.nyu.edu/~fergus/,rob_fergus,
Fabian Pedregosa,136076,PJQNw9oAAAAJ,https://fa.bianp.net/,fpedregosa,https://ch.linkedin.com/in/fabianpedregosa
Illia Polosukhin,136022,3SyxFIAAAAAJ,,ilblackdragon,https://pt.linkedin.com/in/illia-polosukhin-77b6538
Antonio Torralba,133959,8cxDHS4AAAAJ,https://web.mit.edu/torralba/www/,,https://www.linkedin.com/in/antonio-torralba-46444440
Rehan Akbani,132522,kyFJh1IAAAAJ,,,
Ming-Hsuan Yang,132394,p9-ohHsAAAAJ,https://faculty.ucmerced.edu/mhyang/,,https://www.linkedin.com/in/minghsuanyang/
"Michael J. Pencina, PhD",129945,I7tckLIAAAAJ,https://scholars.duke.edu/person/michael.pencina,pencinaphd,https://www.linkedin.com/in/michael-pencina-89194a42/
Jennifer Ngadiuba,129935,ZTqZD80AAAAJ,,,https://www.linkedin.com/in/jennifer-ngadiuba-a2138b141
Ajay Kumar,129357,4ul1v50AAAAJ,https://ajay-kumar.com/,ajaykumarmizzou,https://www.linkedin.com/in/ajaykumarmizzou/
Dacheng Tao,128124,RwlJNLcAAAAJ,,,https://sg.linkedin.com/in/dacheng-tao-a12618b
Mark DePristo,127972,OXefjc0AAAAJ,,markdepristo,https://www.linkedin.com/in/markdepristo/
Dragomir Anguelov,127815,T04c3fwAAAAJ,,,https://www.linkedin.com/in/dragomiranguelov
Tsung-Yi Lin,127791,_BPdgV0AAAAJ,https://tsungyilin.info/,TsungYiLinCV,https://www.linkedin.com/in/tsung-yi-lin-48a4b541
Sven Kreiss,127196,SnjnSVEAAAAJ,https://www.svenkreiss.com/,svenkreiss,https://www.linkedin.com/in/svenkreiss/
Ming-Wei Chang,126281,GiCqMFkAAAAJ,https://mingweichang.org/,mchang21,https://www.linkedin.com/in/ming-wei-chang-4962497
Jason Weston,126167,lMkTx0EAAAAJ,,jaseweston,https://www.linkedin.com/in/jason-weston-159130181/
Vipin Kumar,126160,BnxU9TEAAAAJ,https://www-users.cse.umn.edu/~kumar001/,vipinkumarUMN,https://www.linkedin.com/in/vipin-kumar-518101/
Qiang Yang (杨强）,125035,1LxWZLQAAAAJ,http://www.cse.ust.hk/~qyang,,
Xiaogang Wang,122309,-B5JgjsAAAAJ,https://www.ee.cuhk.edu.hk/~xgwang/,,
Laurens van der Maaten,121792,6GDfcqEAAAAJ,https://lvdmaaten.github.io/,lvdmaaten,https://www.linkedin.com/in/laurens-van-der-maaten-1255811?trk=public_post_feed-actor-name
Alexander C Berg,120935,jjEht8wAAAAJ,https://acberg.com/,AlexanderC12224,https://www.linkedin.com/in/alexander-berg-923660135
Chih-Jen Lin,120848,SLMkts8AAAAJ,https://www.csie.ntu.edu.tw/~cjlin/,jclin_jen,https://www.linkedin.com/in/chih-jen-lin-a5a91a15/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=tw
Stuart Russell,118602,2oy3OXYAAAAJ,https://people.eecs.berkeley.edu/~russell/,,https://www.linkedin.com/in/stuartjonathanrussell/
Mark Jenkinson,117699,-6XiFkUAAAAJ,https://researchers.adelaide.edu.au/profile/mark.jenkinson,uniofadelaide,https://uk.linkedin.com/in/mark-jenkinson-63b53b148
Mehdi Mirza,117180,c646VbAAAAAJ,https://memimo.net/,,https://uk.linkedin.com/in/mehdi-mirza-22518a6
Alan Yuille,116859,FJ-huxgAAAAJ,https://www.cs.jhu.edu/~ayuille/,,
Hegoi Garitaonandia,116775,WaWMFm0AAAAJ,,,
Wolfram Burgard,116652,zj6FavAAAAAJ,https://www.utn.de/1/wolfram-burgard/,utn_nuremberg,https://www.linkedin.com/company/technische-universit%C3%A4t-n%C3%BCrnberg
Scott Reed,115896,jEANvfgAAAAJ,https://reedscot.github.io/,scott_e_reed,https://www.linkedin.com/in/reedscott
Austin Basye,115295,FC5ONVMAAAAJ,,,https://www.linkedin.com/in/austinbasye
Allan Collins,115234,q6Kzly0AAAAJ,https://allancollins.northwestern.edu/,,
Joseph Redmon,113663,TDk_NfkAAAAJ,https://pjreddie.com/,pjreddie,
Timothy P. Lillicrap,113057,htPVdRMAAAAJ,https://contrastiveconvergence.net/~timothylillicrap/index.php,,
Daphne Koller,112623,5Iqe53IAAAAJ,,,https://www.linkedin.com/in/daphne-koller-4053a820
Daniel C. Dennett,112565,3FWe5OQAAAAJ,,,已去世https://www.science.org/doi/10.1126/science.adq5873
Wei Liu,110280,yFMX138AAAAJ,https://www.cs.unc.edu/~wliu/,,https://www.linkedin.com/in/lwbiosoft
Richard Szeliski,108982,3_u1jHQAAAAJ,https://szeliski.org/,szeliski,https://www.linkedin.com/in/richard-szeliski-865047125
Shuicheng Yan,108777,DNuiPHwAAAAJ,https://yanshuicheng.info/,shuicheng0320,https://www.linkedin.com/in/shuicheng-yan-123a866/
William T. Freeman,108644,0zZnyMEAAAAJ,,,https://www.linkedin.com/in/bill-freeman-a5140412
Kevin Murphy,107061,MxxZkEcAAAAJ,https://www.cs.ubc.ca/~murphyk/,sirbayes,https://www.linkedin.com/in/kevin-murphy-20684115
Soumith Chintala,106774,36ofBJgAAAAJ,https://soumith.ch/,soumithchintala,https://linkedin.com/in/soumith
Frank-Peter Schilling,106219,ZgO3g3QAAAAJ,https://fpschill.github.io/,fpschilling,https://ch.linkedin.com/in/frankpeterschilling
Kilian Weinberger,106217,8RVWMycAAAAJ,https://www.cs.cornell.edu/~kilian/,KilianQW,https://www.linkedin.com/in/kilian-weinberger-40b6844
David Warde-Farley,105661,MOgfm8oAAAAJ,https://dwf.name/,dwf,https://uk.linkedin.com/in/david-warde-farley-55a0825
Philipp Fischer,105389,M2j8KYMAAAAJ,,,https://de.linkedin.com/in/philipp-fischer-99a317263?trk=public_profile_browsemap
Bernt Schiele,105031,z76PBfYAAAAJ,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/bernt-schiele,,https://de.linkedin.com/in/bernt-schiele-111785236?trk=public_post_main-feed-card-text
