name,citation,google_scholar,personal_page,twitter,linkedin,image,famous_work,honor,institution,position
Geoffrey Hinton,833235,JicYPdAAAAAJ,https://www.cs.toronto.edu/~hinton/,geoffreyhinton,,https://api.dinq.io/images/Geoffrey_Hinton.jpg,"Boltzmann machines, 1985",,University of Toronto; https://fundit.fr/sites/default/files/styles/max_650x650/public/actors/2527-universite-toronto.png?itok=mPR77h6x,Emeritus Professor
Yoshua Bengio,821134,kukA0LcAAAAJ,https://yoshuabengio.org/,Yoshua_Bengio,https://ca.linkedin.com/in/yoshuabengio,https://api.dinq.io/images/Yoshua_Bengio.jpg,Generative Adversarial Net 2014,,University of Montreal; https://www.universityrankings.ch/var/myscienceca/image/logo/umontreal.svg,Professor
Kaiming He,594195,DhtAFkwAAAAJ,https://people.csail.mit.edu/kaiming/,,https://www.linkedin.com/in/kaiming-he-90664838,https://api.dinq.io/images/Kaiming_He.jpg,Resnet 2016,,MIT; https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/MIT_logo.svg/2560px-MIT_logo.svg.png,Associate Professor
Ilya Sutskever,614450,x04W_mMAAAAJ,https://www.cs.utoronto.ca/~ilya/,ilyasut,https://www.linkedin.com/in/ilya-sutskever,https://api.dinq.io/images/Ilya_Sutskever.jpg,AlexNet 2012,,Safe Superintelligence; https://ssi.inc/public/og-preview.jpg,Co-Founder
Jian Sun,621808,ALVSZAYAAAAJ,https://www.jiansun.org/,,https://cn.linkedin.com/in/jian-sun-264252111,https://api.dinq.io/images/Jian_Sun.jpg,Resnet 2016,,Megvii; https://upload.wikimedia.org/wikipedia/commons/0/04/Megvii_logo.png,Chief Scientist
Ross Girshick,561048,W8VIEZgAAAAJ,https://www.rossgirshick.info/,inkynumbers,https://www.linkedin.com/in/ross-girshick-81326084,https://api.dinq.io/images/Ross_Girshick.jpg,Faster R-CNN 2015,,Vercept; https://vercept.com/Vercept_logo_black.svg,Co-Founder
Andrew Zisserman,460192,UZ5wscMAAAAJ,https://www.robots.ox.ac.uk/~az/,,https://www.linkedin.com/in/andrew-brown-6b4193115,https://api.dinq.io/images/Andrew_Zisserman.jpg,VGGNet 2014,,University of Oxford; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/University_of_Oxford.svg/2560px-University_of_Oxford.svg.png,Professor
Shaoqing Ren,414028,AUhj438AAAAJ,https://shaoqingren.com/,RenShaoqing,https://cn.linkedin.com/in/shaoqing-ren-61853260,https://api.dinq.io/images/Shaoqing_Ren.jpg,Resnet 2016,,NIO; https://www.logobiaozhi.com/upLoad/image/20240117/17054781597160551.jpg,Vice President
Yann LeCun,400662,WLN3QrAAAAAJ,http://yann.lecun.com/,ylecun,https://www.linkedin.com/in/yann-lecun,https://api.dinq.io/images/Yann_LeCun.jpg,LeNet 1998,,Meta; https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Meta-Logo.png/2560px-Meta-Logo.png,Chief AI Scientist
Xiangyu Zhang,364503,yuB-cfoAAAAJ,,,https://www.linkedin.com/in/xiangyu-zhang-24a148160/,https://api.dinq.io/images/Xiangyu_Zhang.jpg,Resnet 2016,,StepFun; https://www.stepfun.com/assets/logo-white-Bx9HGfJf.svg,Co-Founder
Ian Goodfellow,327150,iYN86KEAAAAJ,https://www.iangoodfellow.com/,goodfellow_ian,https://www.linkedin.com/in/ian-goodfellow-b7187213,https://api.dinq.io/images/Ian_Goodfellow.jpg,Generative Adversarial Net 2014,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Research Scientist
Jeff Dean,339090,NMS69lQAAAAJ,https://research.google/people/jeff/?&type=google,JeffDean,https://www.linkedin.com/in/jeff-dean-8b212555,https://api.dinq.io/images/Jeff_Dean.jpg,Tensorflow 2016,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Chief Scientist
Oriol Vinyals,330262,NkzyCvUAAAAJ,https://research.google/people/oriolvinyals/,OriolVinyalsML,https://uk.linkedin.com/in/oriol-vinyals-00b3366,https://api.dinq.io/images/Oriol_Vinyals.jpg,Tensorflow 2016,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,VP of Research & Deep Learning Lead
Alex Krizhevsky,295452,xegzhJcAAAAJ,http://www.cs.toronto.edu/~kriz,,,https://api.dinq.io/images/Alex_Krizhevsky.jpg,AlexNet 2012,,Dessa; https://ml.globenewswire.com/Resource/Download/ca4405ff-cf62-4b4f-8e47-7f5b41280cf0,Co-Founder
Christian Szegedy,289361,bnQMuzgAAAAJ,,ChrSzegedy,https://www.linkedin.com/in/christian-szegedy-bb284816,https://api.dinq.io/images/Christian_Szegedy.jpg,GoogLeNet 2015,,xAI; https://1000logos.net/wp-content/uploads/2023/10/xAI-Logo.png,Co-Founder
Quoc V. Le,316217,vfT6-XIAAAAJ,https://cs.stanford.edu/~quocle/,quocleix,https://www.linkedin.com/in/quoc-v-le-319b5a8,https://api.dinq.io/images/Quoc_V._Le.jpg,Seq2Seq 2014,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Research Scientist
Trevor Darrell,289190,bh-uRFMAAAAJ,https://people.eecs.berkeley.edu/~trevor/,trevordarrell,https://its.berkeley.edu/people/trevor-darrell,https://api.dinq.io/images/Trevor_Darrell.jpg,FCN 2015,,UC Berkeley; https://images.fineartamerica.com/images/artworkimages/medium/2/berkeley-university-of-california-logo-kls80-kakanda-lee-setiawan-transparent.png,Professor
Li Fei-Fei,292380,rDfyQnIAAAAJ,http://vision.stanford.edu/,drfeifei,https://www.linkedin.com/in/fei-fei-li-4541247,https://api.dinq.io/images/Li_Fei-Fei.jpg,ImageNet 2009,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Andrew Ng,280275,mG4imMEAAAAJ,https://www.andrewng.org/,AndrewYNg,https://www.linkedin.com/in/andrewyng/,https://api.dinq.io/images/Andrew_Ng.jpg,LDA 2003,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Adjunct Professor
Diederik P. Kingma,294863,yyIoQu4AAAAJ,https://dpkingma.com/,dpkingma,https://www.linkedin.com/in/durk-kingma-58b3564,https://api.dinq.io/images/Diederik_P._Kingma.jpg,Adam 2014,,Anthropic; https://seeklogo.com/images/A/anthropic-icon-logo-630D0BB290-seeklogo.com.png,Researcher
Christopher D Manning,278070,1zmDOdwAAAAJ,https://nlp.stanford.edu/~manning/,chrmanning,https://www.linkedin.com/in/christopher-manning-011575,https://api.dinq.io/images/Christopher_D_Manning.jpg,GloVe 2014,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Juergen Schmidhuber,273595,gLnCTgIAAAAJ,https://people.idsia.ch/~juergen/,schmidhuberai,https://ch.linkedin.com/in/j%C3%BCrgen-schmidhuber-39226872,https://api.dinq.io/images/Juergen_Schmidhuber.png,LSTM 1997,,IDSIA; https://media.licdn.com/dms/image/v2/D4E0BAQH8VJJSjRqL4A/company-logo_200_200/company-logo_200_200/0/1731055148483/idsia_logo?e=2147483647&v=beta&t=MxyM_WxXMlzji-NUPCwsg94zkBIYgMoMIj_DTLUOAlQ,scientific director
Jimmy Ba,264745,ymzxRhAAAAAJ,https://jimmylba.github.io/,jimmybajimmyba,,https://api.dinq.io/images/Jimmy_Ba.jpg,Adam 2015,,University of Toronto; https://fundit.fr/sites/default/files/styles/max_650x650/public/actors/2527-universite-toronto.png?itok=mPR77h6x,Assistant Professor
Karen Simonyan,258601,L7lMQkQAAAAJ,,,https://am.linkedin.com/in/simonyankaren,https://api.dinq.io/images/Karen_Simonyan.jpg,VGGNet 2014,,Microsoft AI; https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6jRv8uKLKVtjpbDcqgYEKtsmljetkphIoNfJ6bjWq8k84yKS-5txgWaWBtLjwI_xdSUM&usqp=CAU,Chief Scientist
Jitendra Malik,245929,aOklxsQAAAAJ,https://people.eecs.berkeley.edu/~malik/,JitendraMalikCV,https://www.linkedin.com/in/jitendra-malik-60b55823b,https://api.dinq.io/images/Jitendra_Malik.jpg,R-CNN 2014,,UC Berkeley; https://images.fineartamerica.com/images/artworkimages/medium/2/berkeley-university-of-california-logo-kls80-kakanda-lee-setiawan-transparent.png,Professor
Luc Van Gool,252181,TwMib_QAAAAJ,,,https://ch.linkedin.com/in/luc-van-gool-1b4a689,https://api.dinq.io/images/Luc_Van_Gool.jpg,SURF 2006,,INSAIT Sofia University; https://avatars.githubusercontent.com/u/117932115?s=200&v=4,Professor
Piotr Dollár,265137,a8Y2OJMAAAAJ,https://pdollar.github.io/,,https://www.linkedin.com/in/pdollar,https://api.dinq.io/images/Piotr_Dollár.jpg,COCO 2014,,FAIR; https://voicebot.ai/wp-content/uploads/2020/07/facebook-ai.png,Researcher
koray kavukcuoglu,254632,sGFyDIUAAAAJ,http://koray.kavukcuoglu.org/,koraykv,https://uk.linkedin.com/in/koray-kavukcuoglu-0439a720,https://api.dinq.io/images/koray_kavukcuoglu.jpg,DQN 2015,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Researcher
Ruslan Salakhutdinov,226895,ITZ1e7MAAAAJ,https://www.cs.cmu.edu/~rsalakhu/,rsalakhu,,https://api.dinq.io/images/Ruslan_Salakhutdinov.jpg,Dropout 2014,,CMU; https://www.cmu.edu/brand/brand-guidelines/images/lettermark-600x600.jpg,Professor
David Silver,235262,-8DNE4UAAAAJ,https://www.davidsilver.uk/,,,https://api.dinq.io/images/David_Silver.png,DQN 2015,,DeepMind; https://upload.wikimedia.org/wikipedia/commons/1/12/DeepMind_logo.png,Principal Research Scientist
Lukasz Kaiser,241379,JWmiQR0AAAAJ,,lukaszkaiser,https://www.linkedin.com/in/lukaszkaiser,https://api.dinq.io/images/Lukasz_Kaiser.jpg,Attention is all you need 2017,,OpenAI; https://logos-world.net/wp-content/uploads/2024/08/OpenAI-Logo.png,Member of Technical Staff
Jakob Uszkoreit,257126,mOG0bwsAAAAJ,,kyosu,https://www.linkedin.com/in/jakob-uszkoreit-b238b51,https://api.dinq.io/images/Jakob_Uszkoreit.jpg,Attention is all you need 2017,,Inceptive; https://cdn.healthtechalpha.com/static/resized/social_media_image/startup_data_images/113608.png,Chief Executive Officer and co-founder
Richard Socher,207714,FaOcyfMAAAAJ,https://www.socher.org/,RichardSocher,https://www.linkedin.com/in/richardsocher,https://api.dinq.io/images/Richard_Socher.jpg,ImageNet 2009,,you.com; https://logos-world.net/wp-content/uploads/2024/09/You.com-Logo-New.png,CEO/Founder
Noam Shazeer,231336,wsGvgA8AAAAJ,,NoamShazeer,https://www.linkedin.com/in/noam-shazeer-3b27288,https://api.dinq.io/images/Noam_Shazeer.png,Attention is all you need 2017,,Google; https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png,Technical lead on Gemini
Serge Belongie,194831,chD5XxkAAAAJ,https://www.belongielab.org/,BelongieLab,https://dk.linkedin.com/in/sergebelongie,https://api.dinq.io/images/Serge_Belongie.jpg,COCO 2014,,University of Copenhagen; https://study-eu.s3.eu-west-1.amazonaws.com/uploads/university/university-of-copenhagen--ku--29-logo.png,Professor
Jure Leskovec,195851,Q_kKkIUAAAAJ,https://cs.stanford.edu/~jure/,jure,https://www.linkedin.com/in/leskovec,https://api.dinq.io/images/Jure_Leskovec.jpg,GraphSAGE 2017,,Stanford; https://betterbuildingssolutioncenter.energy.gov/sites/default/files/2024-08/Stanford%20Logo_0.png,Professor
Thomas Brox,185576,0VAe-TQAAAAJ,https://lmb.informatik.uni-freiburg.de/people/brox/index.en.html,,,https://api.dinq.io/images/Thomas_Brox.jpg,U-Net 2015,,University of Freiburg; https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Siegel_der_Albert-Ludwigs-Universit%C3%A4t_Freiburg.svg/800px-Siegel_der_Albert-Ludwigs-Universit%C3%A4t_Freiburg.svg.png,Professor
Pieter Abbeel,190175,vtwH6GkAAAAJ,https://people.eecs.berkeley.edu/~pabbeel/,pabbeel,https://www.linkedin.com/in/pieterabbeel,https://api.dinq.io/images/Pieter_Abbeel.jpg,DDPM 2020,,UC Berkeley; https://images.fineartamerica.com/images/artworkimages/medium/2/berkeley-university-of-california-logo-kls80-kakanda-lee-setiawan-transparent.png,Professor
Ashish Vaswani,195922,oR9sCGYAAAAJ,,ashvaswani,https://www.linkedin.com/in/ashish-vaswani-99892181/,https://api.dinq.io/images/Ashish_Vaswani.png,Attention is all you need 2017,,Essential AI; https://montgomerysummit.com/wp-content/uploads/Essential-AI-TileUnofficial.png,Co-founder and CEO
Alec Radford,215746,dOad5HoAAAAJ,,AlecRad,https://www.linkedin.com/in/alecradford?trk=people-guest_people_search-card,https://api.dinq.io/images/Alec_Radford.jpg,GPT 2018,,OpenAI; https://logos-world.net/wp-content/uploads/2024/08/OpenAI-Logo.png,Researcher
Kyunghyun Cho,171023,0RAmmIAAAAAJ,https://www.kyunghyuncho.me/,kchonyc,https://www.linkedin.com/in/kyunghyun-cho-2171681b,https://api.dinq.io/images/Kyunghyun_Cho.jpg,CLIP 2021,,New York University; https://cdn.freelogovectors.net/wp-content/uploads/2023/01/nyu_seal_new_york_university2-freelogovectors.net_.png,Associate Professor
Niki Parmar,190587,q2YXPSgAAAAJ,,nikiparmar09,https://www.linkedin.com/in/nikiparmar,https://api.dinq.io/images/Niki_Parmar.jpg,Attention is all you need 2017,,Essential AI; https://montgomerysummit.com/wp-content/uploads/Essential-AI-TileUnofficial.png,Co-Founder
Xiaoou Tang,161540,qpBtpGsAAAAJ,https://mmlab.ie.cuhk.edu.hk/,,,https://api.dinq.io/images/Xiaoou_Tang.jpg,SRCNN 2015,,The Chinese University of Hong Kong; https://wun.ac.uk/wp-content/uploads/cu_logo_4c_centre.gif,Professor
Llion Jones,186341,_3_P5VwAAAAJ,,YesThisIsLion,https://jp.linkedin.com/in/llion-jones-9ab3064b,https://api.dinq.io/images/Llion_Jones.jpg,Attention is all you need 2017,,SakanaAI; https://www.nea.com/_next/image?url=https%3A%2F%2Fstatamic.nea.com%2Fassets%2Fsakana-ai_transparent.png&w=3840&q=75,CTO
